PF10,PL10,PF01,PL01,PL11,PRG1,PF02,PL02,PL12,PRG2,PF03,PL03,PL13,PF04,PL04,PF05,PL05,PF06,PL06,PF07,PL07,PF08,PL08,PF09,PL09,PRGA,PTHA,PSTA,PLEB,PREB,PKAC,PACC,PRGC,PHED,RCHD,PGID,PHPD,PSPD,PRSD,PPOE,PBRE,PEYE,PLMG,PFSH,PLSH,PMSH,PRSH,PSSH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,PFGM,PGGM,HELM,PHAN,PJEN,PTEN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PFMP,PIMP,PJMP,PTYP,PCAR,PYER,PRGR,PKPR,PSTR,POVR,PAWR,PRGS,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,PHGT,PRGT,PWGT,PSLT,PGRT,PRST,PRGY,PLSY
0,0,46,30,0,0,25,21,0,0,19,18,0,15,1,14,14,0,20,0,0,0,0,0,0,0,0,18,0,0,0,19,0,4,8891,150,0,19,0,8,0,1,0,-1,0,-1,0,4,8,17,6,15,7,2,2,0,9,4,0,0,0,3,0,34,2,2,2,0,0,0,0,54,6,15,0,3,0,0,0,5,12,7,0,5,0,0,16,0,0,72,0,15,0,0,0,0,0
0,0,36,40,0,0,15,15,0,0,14,18,0,26,18,5,9,12,12,12,19,0,0,0,0,0,0,16,0,0,0,23,0,0,8787,151,0,19,0,2,0,0,0,0,0,2,0,3,5,19,4,12,5,2,3,0,10,11,2,0,0,2,0,6,1,2,2,1,0,0,0,32,15,14,0,9,0,0,0,7,12,9,0,2,1,0,1,0,0,70,0,40,1,0,0,0,0
0,0,40,45,0,0,1,25,0,0,26,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,4,2324,152,0,2,2,12,0,1,0,3,0,3,0,1,0,10,6,11,8,4,4,0,0,2,0,0,0,2,0,11,0,2,2,1,0,0,0,51,8,4,0,0,1,0,0,13,8,8,0,5,0,0,12,0,5,74,0,145,1,0,0,0,0
0,0,39,45,0,0,9,3,0,0,3,15,0,8,20,1,20,5,0,12,0,0,0,0,0,0,0,18,0,0,0,13,0,3,2228,153,0,14,2,2,0,1,0,1,0,4,0,4,5,12,5,20,11,2,2,0,4,6,0,0,0,0,0,5,0,2,2,1,0,0,0,46,5,9,0,2,2,0,0,12,12,10,0,3,0,0,15,0,0,75,0,85,0,0,0,0,0
0,0,45,40,0,0,8,1,0,0,1,9,0,23,13,14,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,21,0,2,8762,154,0,14,2,2,0,0,0,0,0,0,0,3,10,18,0,14,2,3,3,0,1,3,0,0,0,1,0,81,0,2,2,2,0,0,0,5,10,14,0,4,0,0,0,4,9,7,0,3,1,0,3,0,0,76,0,40,0,0,0,0,0
0,0,36,33,0,0,1,1,0,0,19,20,0,1,8,9,9,1,14,8,7,0,19,0,0,0,0,19,0,0,0,20,0,0,2379,155,0,14,0,0,0,1,0,-1,0,0,0,4,8,17,6,15,2,3,3,0,1,4,0,0,0,3,0,80,0,2,2,1,0,0,0,48,7,14,0,4,0,0,0,5,8,7,0,5,1,0,3,0,0,75,0,25,1,0,0,0,0
0,0,29,27,0,0,8,13,0,0,1,1,0,18,14,12,11,5,23,19,1,0,1,0,0,0,1,17,0,0,0,22,0,2,7438,156,0,15,0,0,0,0,0,-1,0,-1,0,4,5,19,5,14,7,2,3,0,4,5,0,0,0,0,0,12,0,2,2,1,0,0,1,44,5,14,0,2,2,0,0,6,12,11,0,6,1,0,18,5,5,71,0,27,0,0,0,0,0
0,0,39,34,0,0,25,15,0,0,36,18,0,1,20,4,15,5,14,14,0,0,0,0,0,0,2,17,0,0,0,21,0,5,8716,157,0,19,0,5,0,0,0,-1,0,-1,0,4,5,19,5,17,7,2,3,0,8,5,2,0,0,3,0,19,2,2,2,1,0,0,5,44,10,19,0,2,0,0,0,4,12,8,0,0,0,0,16,0,0,74,0,35,1,0,0,0,0
0,0,39,39,0,0,9,1,0,0,3,20,0,8,8,1,9,5,19,12,15,0,14,0,0,0,0,14,0,0,0,23,0,5,2361,158,0,21,0,7,0,0,0,-1,0,0,0,4,11,20,6,20,2,6,6,0,1,5,0,0,0,0,0,3,1,2,2,0,0,0,0,51,3,11,0,5,1,0,0,4,11,11,0,6,1,1,3,0,0,70,0,20,0,0,0,0,0
0,0,37,45,0,0,5,8,0,0,14,15,0,25,12,15,20,14,25,0,0,0,0,0,0,0,0,15,0,0,0,13,0,3,3406,159,0,8,2,3,0,0,0,0,0,3,0,2,7,12,3,18,2,5,7,0,2,7,0,0,0,1,0,84,2,2,2,1,0,0,0,26,12,9,0,8,0,0,0,11,12,7,0,4,0,0,4,0,0,76,0,85,1,0,0,0,0
0,0,41,45,36,0,18,9,0,0,1,14,0,14,7,0,12,0,5,0,20,0,15,0,14,0,0,19,0,0,0,23,0,5,2139,160,0,21,0,0,0,1,0,-1,0,-1,0,4,7,20,6,15,2,3,3,0,8,5,0,0,0,0,0,13,1,2,2,1,0,0,0,52,9,16,0,5,0,0,0,4,10,8,0,5,1,0,3,0,0,71,0,8,0,0,0,0,0
0,36,27,49,18,0,14,9,0,0,20,12,0,8,12,15,9,14,1,25,13,0,19,0,0,0,0,19,0,0,0,23,0,5,3089,161,0,16,2,0,0,0,0,0,0,0,0,4,7,19,6,22,2,2,3,0,3,8,0,0,0,1,0,2,2,2,2,0,0,0,0,49,10,10,0,9,0,0,0,8,11,9,0,6,0,1,1,0,0,73,0,35,1,0,0,0,0
0,0,36,28,0,0,5,15,0,0,19,1,0,12,20,15,5,18,14,4,7,0,0,0,0,0,1,18,0,0,0,15,0,5,8877,162,0,13,2,0,0,0,0,0,0,3,0,3,8,14,6,12,12,1,0,0,4,4,0,0,0,3,0,9,0,2,2,0,0,0,1,50,8,14,0,5,1,0,1,11,14,11,0,3,0,0,13,0,5,73,0,70,0,0,0,0,0
0,0,44,39,0,0,25,3,0,0,1,29,0,14,12,0,1,0,9,0,14,0,0,0,0,0,0,11,0,0,0,11,0,3,7693,163,0,7,0,0,0,1,0,1,0,4,0,3,2,10,0,12,11,2,2,0,2,2,2,0,0,2,0,45,0,2,2,1,0,0,0,3,9,6,0,2,2,0,0,11,11,9,0,5,0,0,10,5,0,76,0,80,0,0,0,0,0
0,0,37,39,0,0,15,21,0,0,14,13,0,1,16,20,6,1,9,0,5,0,12,0,4,0,0,19,0,0,0,22,0,5,2318,164,0,23,0,4,0,1,0,-1,0,-1,0,4,11,19,6,18,2,2,1,0,0,5,3,0,0,1,0,9,2,2,2,2,0,0,0,50,8,12,0,5,0,0,0,5,11,10,0,1,0,0,3,0,0,73,0,18,1,0,0,0,0
0,0,38,34,0,0,15,1,0,0,7,23,0,1,11,14,9,0,14,0,19,0,0,0,0,0,0,11,0,0,0,13,0,0,9525,165,0,4,2,8,0,0,0,2,0,2,0,1,2,12,6,14,9,2,3,0,8,2,0,0,0,2,0,98,0,2,2,2,0,0,0,54,7,5,0,0,1,0,0,14,11,8,0,5,0,0,10,0,0,74,0,125,1,0,0,0,0
0,0,44,29,0,0,15,8,0,0,14,1,0,1,13,14,2,0,5,0,18,0,19,0,0,0,0,10,0,0,0,10,0,0,8746,166,0,4,0,5,0,0,0,2,0,3,0,2,0,10,1,5,2,11,13,0,3,2,0,0,0,2,0,74,0,2,2,2,0,0,0,13,7,4,0,0,0,0,0,13,8,6,0,3,0,0,5,0,0,77,0,115,1,0,0,0,0
0,0,48,32,0,0,9,15,0,0,14,14,0,3,20,5,5,14,0,20,36,0,18,0,55,0,0,10,0,0,0,11,0,3,8767,167,0,3,2,2,0,1,0,2,0,3,0,1,0,11,0,5,2,10,12,0,7,2,2,0,0,1,0,6,0,2,2,1,0,0,0,2,8,3,0,0,1,0,0,15,9,6,0,3,0,0,6,0,0,76,0,130,0,0,0,0,0
0,18,44,29,55,0,1,15,0,0,14,3,0,4,8,25,18,0,1,0,14,0,0,0,36,0,0,18,0,0,0,21,0,2,2324,168,0,15,0,2,0,1,0,0,0,0,0,4,4,19,6,12,8,2,3,0,11,3,0,0,0,3,0,1,2,2,2,1,0,0,0,52,10,15,0,1,1,0,0,7,12,11,0,5,1,0,16,5,0,72,0,33,1,0,0,0,0
0,0,30,27,0,0,5,12,0,0,1,12,0,3,5,15,14,14,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,3,2335,169,0,3,0,5,0,1,0,2,0,3,0,3,3,7,6,12,5,10,11,0,0,2,2,0,0,0,0,68,1,2,2,2,0,0,0,49,8,3,0,0,0,0,0,17,8,6,0,3,0,0,7,0,5,73,0,103,1,0,0,0,0
0,0,46,45,0,0,9,3,0,0,13,9,0,15,16,20,16,8,9,25,15,0,0,0,0,0,0,19,0,0,0,21,0,4,2173,170,0,15,0,2,0,0,0,-1,0,0,0,4,7,18,5,15,2,3,3,0,9,4,4,0,0,2,0,88,0,2,2,1,0,0,0,45,7,18,0,4,2,0,0,5,8,7,0,5,1,0,3,0,5,74,0,45,0,0,0,0,0
0,0,36,39,0,0,15,1,0,0,5,18,0,25,15,0,21,0,19,0,5,0,11,0,0,0,10,21,0,0,0,12,0,4,8751,171,0,8,0,23,0,0,0,-1,0,0,0,4,3,12,1,23,4,2,4,0,11,6,1,0,0,3,0,14,2,0,0,0,0,0,12,13,6,7,0,4,0,0,0,6,7,6,0,6,0,0,0,5,0,74,0,45,1,0,0,0,0
0,0,41,39,0,0,23,21,0,0,5,18,0,14,16,0,8,0,25,0,0,0,0,0,0,0,0,10,0,0,0,8,0,3,8704,172,0,1,2,1,0,0,0,3,0,4,0,2,0,8,5,5,2,11,14,0,11,2,1,0,0,1,0,73,0,2,2,1,0,0,0,43,7,3,0,0,0,0,0,16,8,7,0,4,0,0,9,0,0,78,0,140,0,0,0,0,0
0,0,40,49,0,0,1,9,0,0,20,12,0,5,12,0,9,0,1,0,13,0,19,0,0,0,0,10,0,0,0,6,0,0,8828,173,0,3,0,2,0,0,0,2,0,5,0,3,0,6,1,5,2,11,14,0,0,2,0,0,0,2,0,76,0,2,2,1,0,0,0,15,8,3,0,0,0,0,0,16,9,7,0,2,0,0,6,0,0,78,0,145,1,0,0,0,0
0,0,29,32,0,0,21,1,0,0,18,14,0,20,14,9,0,19,36,0,18,0,55,0,0,0,0,11,0,0,0,11,0,5,2369,174,0,6,2,0,0,0,0,1,0,4,0,4,0,10,6,11,9,2,3,0,8,2,0,0,0,2,0,6,1,2,2,0,0,0,0,54,3,2,0,0,0,0,0,12,10,8,0,5,0,0,10,0,5,75,0,90,0,0,0,0,0
0,0,37,40,0,0,1,5,0,0,20,12,0,15,19,0,15,0,14,0,0,0,0,0,0,0,11,21,0,0,0,15,0,5,2142,175,0,7,2,3,0,0,0,0,0,1,0,2,3,15,4,22,4,2,2,0,1,6,0,0,0,3,0,1,2,0,0,2,0,0,15,36,11,4,0,8,3,0,0,6,11,10,0,5,0,0,0,0,5,73,0,52,0,0,0,0,0
0,0,36,34,0,0,1,15,0,0,12,15,0,5,11,14,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,5,8792,176,0,15,0,4,0,1,0,-1,0,-1,0,4,7,18,5,15,8,0,2,0,3,6,3,0,0,3,0,29,0,2,2,0,0,0,0,44,6,14,0,4,2,0,0,7,15,11,0,2,1,0,17,0,0,74,0,35,0,0,0,0,0
0,0,30,35,0,0,55,18,0,0,36,15,0,55,14,0,19,0,0,0,0,0,0,0,0,0,10,19,0,0,0,14,0,1,2318,177,0,8,0,3,0,1,0,0,0,1,0,2,5,14,6,17,4,2,2,0,0,8,2,0,0,0,0,10,2,0,0,0,0,0,20,49,8,10,0,10,2,0,0,5,12,11,0,1,1,0,0,0,0,78,0,55,1,0,0,0,0
0,0,29,45,0,0,15,13,0,0,18,9,0,25,7,0,5,0,12,0,0,0,0,0,0,0,3,9,0,0,11,11,0,5,8751,178,0,5,2,0,0,0,0,0,0,-1,0,4,0,11,1,7,2,0,0,0,2,2,0,0,0,3,0,12,1,0,0,1,0,0,4,12,9,0,0,0,1,0,14,3,2,11,0,5,0,0,19,5,0,68,0,0,0,0,0,0,0
0,0,27,49,0,0,14,9,0,0,4,12,0,18,12,5,9,0,1,0,13,0,19,0,0,0,0,17,0,0,0,21,0,4,2153,179,0,17,2,3,0,0,0,-1,0,-1,0,4,8,18,4,22,2,3,3,0,3,4,0,0,0,0,0,17,0,2,2,0,0,0,0,35,10,21,0,5,2,0,0,6,10,8,0,5,0,1,3,5,5,70,0,10,0,0,0,0,0
0,0,50,33,0,0,1,18,0,0,22,1,0,9,25,15,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,1,8869,180,0,3,2,2,0,0,0,3,0,4,0,0,2,8,3,6,3,17,16,0,3,5,1,0,0,2,0,77,1,2,2,0,0,0,4,28,3,4,0,1,0,0,0,21,14,12,0,2,0,1,5,0,0,81,0,155,0,0,0,0,0
0,0,36,30,0,0,15,1,0,0,18,14,0,4,9,1,5,14,12,0,19,0,0,0,0,0,2,10,0,0,0,8,0,5,8277,181,0,1,2,3,0,0,0,2,0,3,0,1,3,8,6,4,3,12,14,0,10,2,0,0,0,2,0,75,0,2,2,0,0,0,2,50,8,3,0,2,0,0,0,17,10,8,0,2,0,0,8,5,5,77,0,132,1,0,0,0,0
0,0,28,27,0,0,21,18,0,0,2,19,0,2,12,1,1,0,14,0,9,0,1,0,14,0,0,18,0,0,0,14,0,2,8755,182,0,11,2,2,0,0,0,0,0,2,0,3,5,14,0,17,16,2,2,0,3,2,0,0,0,3,0,27,1,2,2,1,0,0,0,0,8,9,0,2,2,0,0,11,15,15,0,5,0,0,14,0,0,70,0,55,0,0,0,0,0
0,0,49,33,0,0,15,21,0,0,15,5,0,2,18,5,18,14,9,25,5,0,18,0,0,0,0,16,0,0,0,18,0,2,2220,183,0,14,0,4,0,0,0,0,0,0,0,2,7,15,5,13,10,2,3,0,4,4,0,0,0,1,0,31,1,2,2,2,0,0,0,42,6,14,0,3,2,0,0,8,14,9,0,1,0,0,17,0,0,72,0,32,0,0,0,0,0
0,0,28,51,0,0,18,1,0,0,25,18,0,3,13,5,15,14,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,1,7188,184,0,8,2,4,0,0,0,1,0,4,0,3,8,10,1,17,2,6,6,0,11,9,0,0,0,0,0,87,2,2,2,1,0,0,0,12,7,8,0,6,1,0,0,11,13,8,0,4,1,0,4,0,0,77,0,80,0,0,0,0,0
0,0,27,34,0,0,14,15,0,0,7,23,0,5,26,12,5,15,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,4,3396,185,0,10,2,6,0,0,0,0,0,4,0,4,2,13,3,11,6,2,2,0,8,2,0,0,0,2,0,90,0,2,2,0,0,0,0,31,11,3,0,0,2,0,0,11,11,8,0,4,0,0,11,0,5,74,0,70,1,0,0,0,0
0,0,36,33,0,0,15,1,0,0,5,22,0,0,18,0,9,0,12,0,15,0,6,0,6,0,0,10,0,0,0,10,0,1,8850,186,0,3,0,0,0,0,0,1,0,5,0,2,3,10,0,4,2,10,11,0,10,2,0,0,0,0,0,79,0,2,2,2,0,0,0,4,8,2,0,2,0,0,0,12,7,6,0,3,0,0,7,0,0,74,0,128,1,0,0,0,0
0,0,52,39,0,0,1,15,0,0,3,18,0,8,20,0,15,0,14,0,0,0,0,0,0,0,0,11,0,0,0,11,0,5,5425,187,0,9,2,9,0,1,0,1,0,4,0,3,4,10,3,12,10,2,2,0,9,2,0,0,0,1,0,3,0,2,2,2,0,0,0,31,7,8,0,0,2,0,0,12,12,9,0,3,0,0,11,0,5,76,0,100,0,0,0,0,0
0,0,29,38,0,0,15,25,0,0,12,15,0,9,14,14,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,5,9568,188,0,2,0,6,0,1,0,1,0,4,0,4,0,10,0,5,2,10,11,0,9,2,0,0,0,1,0,72,1,2,2,1,0,0,0,3,6,4,0,0,0,0,0,14,7,5,0,6,0,0,6,0,0,77,0,120,0,0,0,0,0
0,0,27,42,0,0,14,18,0,0,4,15,0,18,6,5,6,0,9,0,20,0,20,0,0,0,0,11,0,0,0,13,0,1,8716,189,0,5,0,0,0,1,0,2,0,5,0,3,4,12,3,12,6,2,2,0,10,2,2,0,0,2,0,95,0,2,2,2,0,0,0,30,6,6,0,0,0,0,0,10,7,7,0,5,0,0,12,0,0,75,0,150,0,0,0,0,0
0,14,36,44,0,0,21,9,0,0,12,3,0,9,8,1,1,14,18,0,4,0,19,0,15,0,0,14,0,0,0,13,0,1,2319,190,0,10,0,25,0,1,0,0,0,3,0,2,3,12,3,20,15,0,2,0,0,2,0,0,0,3,0,7,1,2,2,0,0,0,0,31,5,7,0,0,1,0,0,10,12,9,0,2,0,0,15,5,5,75,0,67,0,0,0,0,0
0,0,44,28,0,0,25,5,0,0,1,3,0,14,11,0,13,0,1,0,14,0,0,0,0,0,0,10,0,0,0,10,0,4,8892,191,0,1,2,1,0,0,0,3,0,3,0,1,0,10,0,4,2,14,12,0,4,2,0,0,0,2,0,66,2,2,2,0,0,0,0,7,8,3,0,0,0,0,0,14,10,9,0,2,0,0,7,0,0,75,0,125,1,0,0,0,0
0,0,46,33,0,0,15,5,0,0,14,15,0,25,18,0,7,0,5,0,19,0,0,0,0,0,0,10,0,0,0,10,0,0,8704,192,0,2,0,5,0,0,0,2,0,2,0,1,0,10,1,5,2,11,12,0,11,2,4,0,0,0,0,65,0,2,2,0,0,0,0,9,11,4,0,0,0,0,0,14,8,6,0,2,0,0,8,0,0,74,0,125,0,0,0,0,0
0,0,27,44,0,0,12,15,0,0,5,2,0,24,1,0,18,0,7,0,5,0,0,0,0,0,0,10,0,0,1,6,0,3,8755,193,0,0,2,0,0,0,0,3,0,3,0,1,0,6,0,6,2,11,13,0,7,2,0,0,0,2,0,63,1,2,2,1,0,0,0,7,9,1,0,0,0,0,0,16,8,6,0,2,0,0,8,0,0,77,0,153,1,0,0,0,0
0,55,44,29,0,0,5,15,0,0,7,18,0,7,14,9,5,5,18,0,0,0,36,0,18,0,0,14,0,0,0,14,0,4,8891,194,0,13,2,2,0,0,0,0,0,2,0,3,6,14,6,19,10,2,2,0,11,2,0,0,0,1,0,21,0,2,2,2,0,0,0,51,10,8,0,4,1,0,0,10,9,9,0,1,0,0,14,0,0,69,0,43,0,0,0,0,0
0,0,31,45,0,0,20,12,0,0,8,9,0,1,11,14,5,0,0,0,0,0,0,0,0,0,0,9,0,0,8,6,0,1,9582,195,0,4,2,0,0,0,0,-1,0,-1,0,4,3,6,1,7,3,2,4,0,0,4,1,0,0,3,0,46,2,0,0,2,0,0,0,15,20,2,0,3,1,0,11,5,0,8,0,4,0,0,20,0,0,72,0,22,1,0,0,0,0
0,0,46,28,0,0,18,18,0,0,9,1,0,19,14,20,11,9,0,1,0,14,0,0,0,0,0,15,0,0,0,14,0,3,8300,196,0,9,0,0,0,0,0,1,0,4,0,3,10,12,0,19,2,6,7,0,11,8,0,0,0,3,0,25,2,2,2,2,0,0,0,2,0,7,0,8,0,0,0,10,15,9,0,3,0,0,4,0,0,76,0,88,1,0,0,0,0
0,0,52,30,0,0,1,9,0,0,3,38,0,8,1,0,21,0,18,0,15,0,0,0,0,0,0,15,0,0,0,12,0,3,8874,197,0,10,2,5,0,0,0,0,0,1,0,3,5,11,0,17,14,2,2,0,1,2,0,0,0,3,0,52,1,2,2,2,0,0,0,5,0,7,0,2,1,0,0,9,11,8,0,3,0,0,13,0,0,70,0,52,1,0,0,0,0
0,55,46,33,0,0,15,18,0,0,14,9,0,25,13,0,5,0,19,0,0,0,36,0,18,0,0,21,0,0,0,25,0,1,9475,198,0,20,0,0,0,0,0,0,0,-1,0,4,8,22,4,16,2,2,3,0,0,4,0,0,0,2,0,16,2,2,2,0,0,0,0,33,0,14,0,4,0,0,0,2,10,9,0,2,0,1,3,5,0,68,0,7,0,0,0,0,0
0,0,44,36,0,0,25,15,0,0,1,8,0,14,14,0,19,0,15,0,14,0,0,0,0,0,0,14,0,0,0,12,0,0,5917,199,0,7,0,18,0,0,0,1,0,0,0,2,2,11,5,14,6,2,2,0,11,2,2,0,0,1,0,4,0,2,2,1,0,0,0,41,7,5,0,2,1,0,0,12,9,9,0,4,0,0,11,0,0,76,0,90,0,0,0,0,0
0,0,29,34,0,0,1,5,0,0,12,18,0,5,18,2,9,0,14,0,7,0,0,0,0,0,0,10,0,0,0,7,0,3,8746,200,0,1,2,0,0,0,0,1,0,4,0,2,3,7,0,5,2,11,12,0,7,2,1,0,0,2,0,70,1,2,2,1,0,0,0,0,2,2,0,2,0,0,0,19,8,6,0,0,0,0,9,0,5,79,0,146,0,0,0,0,0
0,20,44,45,0,0,5,21,0,0,25,13,0,54,13,40,5,15,18,9,19,0,5,0,20,0,0,16,0,0,0,14,0,4,8277,201,0,11,0,0,0,1,0,1,0,4,0,4,4,12,6,14,7,2,3,0,0,7,0,0,0,0,0,91,0,2,2,2,0,0,0,48,5,9,0,4,0,0,0,10,8,6,0,1,1,0,15,5,0,76,0,70,0,0,0,0,0
0,18,44,36,55,0,15,1,0,0,14,3,0,1,11,12,19,4,15,0,14,0,0,0,36,0,0,18,0,0,0,21,0,2,5437,202,0,18,0,1,0,1,0,0,0,0,0,4,6,19,4,12,6,2,3,0,1,3,0,0,0,1,0,23,2,2,2,0,0,0,0,38,3,15,0,4,0,0,0,5,12,9,0,4,0,0,16,0,0,73,0,30,0,0,0,0,0
0,5,36,37,12,0,1,5,0,0,25,12,0,12,12,5,25,14,53,0,42,0,15,0,23,0,0,19,0,0,0,19,0,0,5425,203,0,21,2,8,0,1,0,-1,0,-1,0,4,8,17,6,15,11,2,3,0,1,4,0,0,0,1,0,8,2,2,2,1,0,0,0,50,4,14,0,3,2,0,0,7,15,11,0,2,0,0,16,5,0,72,0,20,0,0,0,0,0
0,0,28,28,0,0,18,9,0,0,1,19,0,14,3,4,8,15,15,14,6,0,0,0,0,0,0,11,0,0,0,14,0,5,8874,204,0,9,0,6,0,1,0,0,0,0,0,4,4,12,6,9,14,2,2,0,8,2,0,0,0,1,0,24,1,2,2,0,0,0,0,48,5,10,0,0,2,0,0,10,11,9,0,2,0,0,13,0,0,73,0,60,0,0,0,0,0
0,0,28,49,0,0,18,9,0,0,25,12,0,3,19,5,15,0,14,0,0,0,0,0,0,0,0,20,0,0,0,14,0,4,2333,205,0,5,0,27,0,1,0,3,0,3,0,1,8,14,4,11,9,6,6,0,11,2,4,0,0,1,0,50,0,2,2,1,0,0,0,34,14,8,0,2,1,0,0,17,14,10,0,0,1,0,12,0,0,75,0,125,0,0,0,0,0
